,,,,,,,,,,,,,sim,não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,áudio,midi,partitura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Características,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Médio Nível ,,,,,,,,,,,,,,,Baixo Nível,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Título,Autores,Ano de publicação,Fonte,Quantidade de músicas utilizadas,Base de Dados Pública?,O artigo define um método de extração das características?,"Se sim, qual?",Modelo de classificação da emoção / humor,Qual a definição de tristeza conforme o modelo?,Algoritmo de classificação da emoção/humor,Intervalo,Tonalidade,Acorde,Melodia,Harmonia,Harmony_tonal,Harmony_psysound,Pitch,Pitch Histogram,Pitch_CP,Pitch_CLP,Pitch_CENS,Pitch_CPR,Escala,Variação de acordes,Ritmo,Rhythm strength,Rhythm_CTDFT,Rhythm_CTACF,Rhythm_mirtb,Timbre,Bandwidth,Timbre_mirtb,Timbre_psysound,Tempo,Percussão,Loudness,Loudness-Mean,Loudness-Std,Low-energy,Loudness-flux,Loudness-centroid,Loudness-flatness,Loudness_mirtb,Loudness_psysound,Irregularity (Timbre),Regularity (Timbre),Regularity of Rhythm -Regularidade do Ritmo,Articulção,Strength-Força (Ritmo),Density (Ritmo),Roughness (Timbre),Spectral roughness,Spectral irregularity,espalhamento (SS),Textura,Estrutura,Registro,Dinâmica,Instrumentação,Espectral,Espectro de Atenuação,Zero Crossing Rate (ZCR) (timbre), Spectral Centroid l (SC) (timbre), Spectral Flux (timbre),Spectral Contrast,Spectral Kurtosis,Ponto de Rolamento Espectral ,Variabilidade Espectral,Espectro de Magnitude,Espectro de força,Pares Espectrais de Linha (LSP),Medida de Planicidade Espectral (SFM),Fator de Crista Espectral (SCF) ,"octave-based spectral
contrast (OSC)",spectral crest measure (SCM),spectral-Brightness (Timbre),Dissonância Tonal,Dissonâcia Espectral,Função de Diferença Relativa,coeficientes ceftrais de alta frequência (MFCC) (Timbre),Fração de janelas de baixa energia,Beats (ritmo),Batida Mais Forte,Soma das Batidas,Histograma de batidas,Frequência mais forte via Cruzamento Zero,Coeficientes de Codificação Preditiva Linear (LPC),Suavidade Espectral ,Coeficientes de Frequência de Modulação em Escala de Log (LMFC),Os Coeficientes de Transformação de Cosseno Discreto Modificado (MDCT),Low-SONE (Intensidade),Root Mean Square -RMS (Intensidade/dinâmica),Key Clarity (harmonia),Tom Saliente/Proeminente (Registro),Pulse Clarity (Ritmo),Tempo de Ataque (Articulação),Novidade (Estrutura),Flatness (Tiimbre),Rolloff (timbre),Fluxo Harmônico,Nitidez (Sharpness),Largura Timbral,Volume,Chromagrama (CHR),Sub-banda de Frequência,AMSC/AMSV,AMSFM/AMSCM,Tonal Center Positions and clarity (Tonalidade),Harmonic Change Detection Function (HCDF) (Tonalidade),MTBF,Entropy of Spectrum,Tonal Harmonic Change Detection,Harmonic Change Detection Function,Audio Poweer (Energy),Temporal Centroid (Tempo),Atack time (Tempo,Wavelets Coeficient Histogram,Inharmonicity,harmonic change,Hromagram
Creating reliable database for experiments on extracting emotions from music,"Wieczorkowska, Alicja and Synak, Piotr and Lewis, Rory and Ras, Zbigniew",2005,áudio,303,não,sim,frequência em Hz,Tridimensional,"Excitação, poder e prazer negativo",K-NN,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A TEMPO FEATURE VIA MODULATION SPECTRUM ANALYSIS AND ITS APPLICATION TO MUSIC EMOTION CLASSIFICATION Samsung Advanced Institute ,"{Yuan-Yuan Shi, Xuan Zhu, Hyoung-Gook Kim Ki-Wan Eom",2006,áudio,194,não,sim,,Bidimensional,Valência Negativa Baixa Excitação,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An integrated music recommendation system,"Zhu, Xuan and Shi, Yuan Yuan and Kim, Hyoung Gook and Eom, Ki Wan",2006,áudio,800,não,não,-,Categorias de Emoção,,AdaBoost,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Department of Electrical Engineering , National Taiwan University Multimedia Applications Lab , Telecommunication Laboratories , ","Cheng, Heng-tze and Yang, Yi-hsuan and Lin, Yu-ching and Liao, I-bin and Chen, Homer H",2008,áudio/MIDI,195,não,não,-,Bidimensional,Valência Negativa ,k-nearestneighbor,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emotion-based music retrieval on a well-reduced audio feature space,"Ruxanda, M.M. and Chua, Bee Yong Chua Bee Yong and Nanopoulos, a. and Jensen, C.S.",2009,áudio,1000,não,não,-,Dimensional,"Valência Negativa, Baixa Excitação",K-NN,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVR-based music mood classification and context-based music recommendation,"Rho, Seungmin and Han, Byeong-jun and Hwang, Eenjun",2009,áudio,47,não,não,-, Bidimensional,"Valência Negativa, Baixa Excitação",SVR,,,,,1,,,,,,,,,1,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affective understanding of online songs and speeches,"Chen, Chih Chang and Chen, Chien Hung and Lu, Ping Tsung and Chen, Oscal T C",2010,áudio,52,não,sim,Cálculos Estatísticos,Bidimensional,"Valência Negativa, Baixa Excitação",SVM,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture for Automated Tagging and Clustering of Song Files According to Mood,"Singh, P. and Kapoor, a. and Kaushik, V. and Maringanti, H.",2010,áudio,70,não,sim,-, Bidmensional de Thayer's,"Valência Negativa, Baixa Excitação",-,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Determination of nonprototypical valence and arousal in popular music: Features and performances,"Schuller, B{\""{o}}jrn and Dorfner, Johannes and Rigoll, Gerhard",2010,áudio,25,não,sim,-,Dimensional(5 dimensões) ,-,SVM,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Music emotion classification and context-based music recommendation,"Han, Byeong Jun and Rho, Seungmin and Jun, Sanghoon and Hwang, Eenjun",2010,áudio,-,não,não,-, Bidimensional,"Valência Negativa, Baixa Excitação",SVM,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi-label classification of music by emotion,"Trohidis, Konstantinos and Tsoumakas, Grigorios and Kalliris, George and Vlahavas, Ioannis",2011,áudio,593,sim,sim,Marsyas,Dimensional e Categórico,"Valência Negativa, Baixa Excitação",CLR/RAKEL,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prediction of the Distribution of Perceived Music Emotions Using Discrete Samples,"Yang, Yi Hsuan and Chen, Homer H.",2011,áudio,60,não,sim,-, Bidimensional,"Valência Negativa, Baixa Excitação",?,,,,1,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranking-based emotion recognition for music organization and retrieval,"Yang, Yi Hsuan and Chen, Homer H.",2011,áudio,60,não,sim,Marsyas, Dimensional,"Valência Negativa, Baixa Excitação",RBF-ListNet,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi-Modal Non-Prototypical Music Mood Analysis in Continuous Space: Reliability and Performances,"Schuller, B. and Weninger, Felix and Dorfner, Johannes",2011,áudio,2648,não,não,-, Dimensional,-,-,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An Emotion Model for Music Using Brain Waves.,"Cabredo, Rafael and Legaspi, Rs and Inventado, Ps and Numao, Masayuki",2012,MIDI,242,não,sim,janelamento,-,-,-,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automatic mood classification model for Indian popular music,"Ujlambkar, Aniruddha M. and Attar, Vahida Z.",2012,áudio,2300,não,sim,jAudio/Marsyas,Bidimensional,"Valência Negativa, Baixa Excitação","RandomForest, RandomTree e simpleCART",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,1,1,1,,,,,,,,,1,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evaluation of Musical Features for Emotion Classification,"Song, Yading and Dixon, Simon and Pearce, Marcus",2012,aúdio,2904,sim,não,-,Categórico,-,SVM,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expressed music mood classification compared with valence and arousal ratings,"Brinker, Bert Den and Dinther, Ralph Van and Skowronek, Janto",2012,áudio,288,não,não,-,Bidimensional,-,-,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modeling Listeners' Emotional Response to Music,"Eerola, Tuomas",2012,áudio,360,não,não,-,Bidimensional,"Valência Negativa, Baixa Excitação",-,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Human-centric music medical therapy exploration system,"Xing, Baixi and Zhang, Kejun and Zhang, Lekai and Lua, Eng Keong and Sun, Shouqian",2013,áudio,500,não,sim,Marsyas,-,-,SVM/BP/Linear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web music emotion recognition based on higher effective gene expression programming,"Zhang, Kejun and Sun, Shouqian",2013,áudio,726,não,sim,Marsyas,Categórico,-,RGEP,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Automatic mood detection of indian music using mfccs and k-means algorithm,"Vyas, Garima and Dutta, Malay Kishore",2014,áudio,130,não,sim,jAudio,-,-,k-means,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fusion of electroencephalographic dynamics and musical contents for estimating emotional responses in music listening,"Lin, Yuan Pin and Yang, Yi Hsuan and Jung, Tzyy Ping",2014,áudio,-,não,sim,MIRToolbox,Dimensional,"Valência Negativa, Baixa Excitação",SVM,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,1,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,
Music genre and emotion recognition using Gaussian processes,"Markov, Konstantin and Matsui, Tomoko",2014,áudio,1000,sim,sim,Marsyas,Dimensional,"Valência Negativa, Baixa Excitação",GPs/SVMs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
Popular music representation: chorus detection {\&} emotion recognition,"Yeh, Chia Hung and Tseng, Wen Yu and Chen, Chia Yen and Lin, Yu Dun and Tsai, Yi Ren and Bi, Hsuan I. and Lin, Yu Ching and Lin, ",2014,áudio,350,não,não,-,Bidimensional,"Valência Negativa, Baixa Excitação",Adaboost ,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Automatic Music Mood Classification Based on Timbre and Modulation Features,"Ren, Jia Min and Wu, Ming Ju and Jang, Jyh Shing Roger",2015,áudio,30,?,não,-,Bidimensional,"Valência Negativa, Baixa Excitação",SVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,
Emotion-driven Chinese folk music-image retrieval based on DE-SVM,"Xing, Baixi and Zhang, Kejun and Sun, Shouqian and Zhang, Lekai and Gao, Zenggui and Wang, Jiaxi and Chen, Shi",2015,áudio,500,não,sim,Marsyas,Cor e forma da Imagem,-,SVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Bridge the semantic gap between pop music acoustic feature and emotion: Build an interpretable model,"Zhang, Jiang Long and Huang, Xiang Lin and Yang, Lifang and Nie, Liqiang",2016,áudio,1000,não,não,-,Bidimensional,"Valência Negativa, Baixa Excitação",(rever),,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,1,,1,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,1,,,1,,,1,1,,,,,1,,,,1,1,,,,,,,,,,,
Dimensional music emotion recognition by valence-arousal regression,"Hgrqj, D L and Lqj, D Q J and Dq, X L D Q G and Edlmm, Pdlo and Hgx, Ftxvw and Mshqj, Pdlo and Hgx, Ftxvw and Vklmlqoldqj, F Q ",2016,áudio,744,não,sim,Matlab-Daubechies/Sound Description toolbox /Music Information Retrieval toolbox,Bidimensional,"Valência Negativa, Baixa Excitação",RFR/RNN/SVR,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,1,1,1,1,1,1,1
Music Emotion Recognition Based on Two-Level Support Vector Classification,"Lin, Chingshun and Liu, Mingyu and Hsiung, Weiwei and Jhang, Jhihsiang",2016,áudio,301,não,não,-,,-,SVM,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,
Music emotion recognition using chord progressions,{Yong-Hun Cho} and {Hyunki Lim} and {Dae-Won Kim} and {In-Kwon Lee},2016,áudio/MIDI,Midi: 202/áudio: 818,não,sim,jSymbolic/ MIRToolbox/jAudio,Dimensional,"Valência Negativa, Baixa Excitação",-,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Rough sets applied to mood of music recognition,"Kostek, B and Plewa, M",2016,áudio,150,não,não,-,Bidimensional,"Valência Negativa, Baixa Excitação",-,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,1,,1,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,1,1,1,,,,,,,
Audio features dedicated to the detection of arousal and valence in music recordings,"Grekow, Jacek",2017,áudio,324,não,sim,Essentia/Marsyas,Bidimensional,"Valência Negativa, Baixa Excitação","SMOreg, REPTree, M5P. Algoritmo SMOreg",-,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Cross-Dataset and Cross-Cultural Music Mood Prediction: A Case on Western and Chinese Pop Songs,"Hu, Xiao and Yang, Yi Hsuan",2017,áudio,60,não,sim,Chroma Toolboox/PsySound,Bidimensional,"Valência Negativa, Baixa Excitação",-,,,,,,1,1,1,,1,1,1,1,,,,,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature selection and feature learning in arousal dimension of music emotion by using shrinkage methods,"Zhang, Jiang Long and Huang, Xiang Lin and Yang, Li Fang and Xu, Ye and Sun, Shu Tao",2017,áudio,200,não,sim,MIR toolbox,Bidimensional,"Valência Negativa, Baixa Excitação",Relief-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methodology for stage lighting control based on music emotions,"Hsiao, Shih Wen and Chen, Shih Kai and Lee, Chu Hsuan",2017,áudio,2087,não,,,Bidimensional,"Valência Negativa, Baixa Excitação",SVM,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Music Emotions Recognition by Cognitive Classification Methodologies,"Prwlrqv, E and Dq, D L and Lqj, X R and Hqj, X L L D R and Edlmm, Pdlo and Hgx, Ftxvw and Mshqj, F Q and Hgx, Ftxvw and Frp, F Q ",2017,áudio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
